Name,Gender
Mrigesh,1
Mrityunjay,1
Mukesh,1
Mukti/Mukta,1
Mukul,1
Mukunda,1
Mukut,1
Muni,1
Munindra,1
Murali,1
Murari,1
Murti,1
My son,1
Myself,1
Nabendu,1
Nabin,1
Nagendra,1
Nagesh,1
Nakshatra,1
Nakul,1
Nalin,1
Naman,1
Nanak,1
Nanda lal,1
Nandakishor,1
Nandan,1
Nandin,1
Nandu,1
Narahari,1
Narasimha,1
Narayan,1
Narbu,1
Narendra,1
Naresh,1
Naresh m kumar,1
Narottam,1
Natesh,1
Natraj,1
Natwar,1
Navanit/Navaneet,1
Naveen/Navin,1
Navnit,1
Navrang,1
Nawal,1
Nayan,1
Neel,1
Neelambar,1
Neelesh,1
Neeraj/Niraj,1
Netra,1
New user,1
Ngodup Magar,1
Nibodh,1
Nidhish,1
Nigam,1
Nihal,1
Nihar,1
Nikash,1
Nikesh,1
Nikesh Chhetri,1
Niket,1
Niketan,1
Nikeyparee,1
Nikhil,1
Nikhilesh,1
Niklesh,1
Nikunja,1
Nilesh,1
Nim,1
Nimesh,1
Nimesh/Nimish,1
Nipun,1
Nirad/Neerad,1
Nirajan,1
Nirajit,1
Niranjan,1
Nirav/Neerav,1
Nirbhaya,1
Nirdesh,1
Nirjal,1
Nirjhar,1
Nirmal,1
Nirmay,1
Nirupam,1
Nirvan,1
Nirvik,1
Nischal,1
Nischit,1
Nishad,1
Nishan,1
Nishant,1
 Nishanta,1
Nishesh,1
Nishit,1
Nishok,1
Nishosh,1
Niskarsh,1
Nitesh/Niteesh,1
Nivas,1
NOBAL,1
Nridev,1
Nripa,1
Nripendra,1
Nripesh,1
Nujha,1
Offical work,1
Oja,1
Om,1
Omkar,1
Omprakash,1
Paavan,1
 Paawan,1
Padam,1
Padam/Padma,1
Padmanabha,1
Palash,1
Pallav,1
Pankaj,1
Pappu,1
Parag/Paraag,1
Parakram,1
Paramananda,1
Paramesh,1
Parameshwar,1
Paramjeet/Paramjit,1
Paranjay,1
Paras/Paaras,1
Parashar,1
Paresh,1
Paribartan,1
Parijat,1
Parikshit,1
Parimal,1
Paritosh,1
Parjun,1
Parmesh,1
Partha,1
Parul,1
Parvat/Parbat,1
Parvesh,1
Parvesh/Parwesh,1
Paryas,1
Pasang,1
Pathik,1
Pavan/Pawan,1
Pavitra/Pabitra,1
Pawan,1
Peshal,1
Phalgun,1
Phanindra,1
Pitambar,1
Piyush,1
Poojan,1
Poojit,1
Poorna/Purna,1
Prabal,1
Prabesh,1
Prabhakar,1
Prabhas,1
Prabhat,1
Prabhav,1
Prabhu,1
Prabin,1
Prabir,1
Prabodh,1
Prabuddha,1
Prachanda,1
Pradeep,1
Pradeep/Pradip,1
Pradhumna,1
Pradyot,1
Pradyumna,1
Prafulla,1
Pragun,1
Prahalad,1
Prajeet/Prajit,1
Prajesh,1
Prajit,1
Prajwal,1
Prajwol,1
Prakash,1
Prakat,1
Prakhyat,1
Prakrit,1
Prakshin,1
Prakul,1
Pramesh,1
Pramit,1
Pramod,1
Pran/Praan,1
Pranav,1
Pranay,1
Pranish,1
Pranit,1
Pranjol,1
Prankit,1
Prasad,1
Prasanna,1
Prasata,1
Prashant,1
Prashant/Prashanta,1
Prasid,1
Prasiddha,1
Prasoon/Prasun,1
Prasun,1
Pratap,1
Pratik,1
Pratiman,1
Pratit/Prateet,1
Pratosh,1
Prattyush,1
Praval/Prawal/Prabal,1
Praveen,1
Praveen/Pravin/Prabin,1
Pravir,1
Prayag,1
Prayan,1
Prayankar,1
Prayash,1
Prayasi,1
Prem,1
Premal,1
Prijan,1
Prince vivekananda itani,1
Pritam,1
Prithak,1
Prithu,1
Prithvi/Prithivi,1
Pritish,1
Priya tamang,1
Priyam,1
Prusutam,1
Pujit,1
Punit/Puneet,1
Purna/Poorna,1
Purnendu,1
Puru,1
Purushottam,1
Pushkar,1
Pushpraj,1
Raaz,1
Rabin,1
Rabin khadaka,1
Rabina,1
Raghav/Raghab,1
Raghu,1
Rahul,1
Raj,1
Raja,1
Rajan,1
Rajarshi,1
Rajeev,1
 Rajiv,1
Rajendra,1
Rajesh,1
Rajit,1
Rajiv,1
Rajiv/Rajeev,1
Rajkumar,1
Rajul,1
Rajyeshwar,1
Rakesh,1
Rakin,1
Raksha,1
Ram,1
Raman,1
Ramchandra,1
Ramesh,1
Ramesh muna,1
Ramesh Pandey,1
Rameshwar,1
Ramish,1
Ramit,1
Ramkrishna,1
Ranajit,1
Randhir,1
Ranjan,1
Ranjit/Ranjeet,1
Ranjiv,1
Rasik,1
Ratish,1
Ratna/Ratan,1
Ratnakar,1
Ratri,1
Ratul,1
Raunak,1
Ravi kumar,1
Ravi/Rabi,1
Ravikiran,1
Ravindra,1
Ravindra/Rabindra,1
Rayam,1
Rayan,1
Reewaj,1
Regal,1
Rehant,1
Remash,1
Resham,1
Reyan,1
Ridam Nyoupane,1
Riddhiman,1
Rijul,1
Rimas,1
Rishab,1
Rishabh/rishab,1
Rishav,1
Rishi,1
Rishikesh,1
Riwaj,1
Rizel,1
Rochan,1
Rohan,1
Rohit,1
Rohit raj,1
Rojila,1
Roman,1
Ronak,1
Roop,1
Roopak,1
Roshan,1
Roshil,1
Rubel,1
Ruben,1
Ruchir,1
Rudra,1
Ruhan,1
Rujul,1
Rupak,1
Rupal,1
Rupesh,1
Rupin,1
Rushil,1
Saadya,1
Saashak,1
Sabal,1
Sabin,1
Sabinaya,1
Sabung,1
Sachchit,1
Sachet,1
Sachetan,1
Sachin,1
Sachin/Sachindra,1
Sachit,1
Sadar,1
Sadhan/Saadhan,1
Safal,1
Sagar,1
Sagendra,1
Saghun,1
Sagun,1
Sahadev,1
Sahaj,1
Saharsh,1
Sahas,1
Sahdev,1
Sailesh,1
Sajal,1
Sajan,1
Sajan/Saajan,1
Sajil,1
Sajina,1
Sajiv,1
Sajjan,1
Sakchhyat,1
Saket,1
Sakshat,1
Sakshyam,1
Sakun,1
Samar,1
Samarjit,1
Samartha,1
Samarthya,1
Samarthya/Samartha,1
Samayam,1
Sambhav,1
Sambhuter,1
Sambit,1
Sambuddha,1
Sameer,1
Sameer/Samir,1
Samir,1
Samiran,1
Sampad/Sampat,1
Samrachana,1
Samraj,1
Samrat,1
Samu,1
Samudra,1
Samyag,1
Samyam,1
Samyog,1
Samyuk,1
Sanat,1
Sanchay,1
Sanchit,1
Sandeep,1
Sandeep/Sundip,1
Sandesh,1
Sandesh xetri,1
Sandip,1
Sangam,1
Sanidhya,1
Sanj,1
Sanjay,1
Sanjay Aryan,1
Sanjeev/Sanjiv,1
Sanjib,1
Sanjit,1
Sanjog,1
Sankalpa,1
Sanket,1
Sanskar,1
Santosh,1
Sanyam,1
Sanyog,1
 Sanjog,1
Sapan,1
Saral,1
Sarang,1
Saras,1
Sarasvat,1
Sarat/Sarad,1
Sarba,1
Sarbagya,1
Sarbajit,1
Sarik,1
Sarin,1
Sarish,1
Sarmila,1
Sarthak,1
Saru,1
Sarup/Swaroop,1
Sarvesh/Sarwesh/Sarbesh,1
Satindra/Satyendra,1
Satish,1
Satruijt/Shatrujit,1
Satyajit,1
Satyam,1
Satyanarayan,1
Satyavan,1
Satyavrat,1
Satyavrata,1
Satyendra,1
Saubhagya,1
Saugat,1
Saumya,1
Saunak,1
Saurav/Saurabh,1
Savir,1
Savit,1
Sawa,1
Searash,1
Seung kung,1
Sevak/Sewak,1
Seven flever,1
Shaan,1
Shahid,1
Shailendra,1
Shailendra/Shailen,1
Shailesh,1
Shaisab,1
Shajan,1
Shalikram sapkota,1
Shambhu,1
Shamindra,1
Shamish,1
Shamit,1
Shankar,1
Shanta,1
Shantanu,1
Sharad,1
Sharad/Sarat,1
Sharadchandra,1
Sharan,1
Shardul,1
Shashank,1
Shashanka,1
Shashwat,1
Shaswat,1
Shaswot,1
Shatrughna/Shatrughan,1
Shatrujit,1
Shayal,1
Shekhar,1
Shesh,1
Shibu,1
Shijan,1
Shikhar,1
Shirish/Sirish,1
Shishir,1
Shishir raj,1
Shital kumar,1
Shiva,1
 Shiv,1
Shivesh,1
Shobhan,1
Shrajib,1
Shrajit,1
Shravan,1
Shrees,1
Shreesh/Shrish,1
Shreshta,1
Shreyas,1
Shridhar,1
Shrigopal,1
Shrihari,1
Shrikanta,1
Shrikrishna,1
Shripad,1
Shrish,1
Shubham,1
Shubhashish,1
Shulabh,1
Shyam,1
Shyamsundar,1
Siddhanta,1
Siddhartha,1
Siddhi/Siddha,1
Sirish,1
Slekha,1
Smaran,1
Sohan,1
Sohil,1
Som,1
Somyum,1
Son,1
Sonam,1
Sonit Awal,1
Soren,1
Sourabh,1
Sovit pande,1
Sridhar,1
Srijal,1
Srijan,1
Srijana,1
Suarez,1
Subal,1
Subam,1
Subarna,1
Subas,1
Subham,1
Subhan,1
Subhas/Subhash,1
Subhav,1
Subigya,1
Subit,1
Subodh,1
Subrat,1
Sudarshan,1
Sudarshan/Sudarsan,1
Sudeep,1
 Sudip,1
Sudesh,1
Sudeva,1
Sudhakar,1
SUDHAN,1
SUDHAN PAUDEL,1
Sudhanshu,1
Sudhindra,1
Sudhir/Sudheer,1
Sudip,1
Sugandha,1
Sughan,1
Suhail,1
Suhas/Suhaas,1
Sujan,1
Sujash,1
Sujatamohan,1
Sujay,1
Sujeen,1
Sujen,1
Sujit,1
Sukanta,1
Sukesh,1
Sukrit,1
Sukumar,1
Sulabh,1
Sulav,1
Sulekh,1
Sulochan,1
Suman,1
Sumangal,1
Sumant,1
Sumantu,1
Sumedh,1
Sumeet,1
Sumit,1
Sumin,1
Sumit rayamajhi,1
Sunand,1
Sunash,1
Sundar,1
Suneet,1
Sunil,1
Sunirmal,1
Suprakash,1
Suprich,1
Suprit,1
Sur,1
Suraj,1
Suranjan,1
Suras,1
Surendra,1
Surendra/Suren,1
Suresh,1
Surit,1
Sursam,1
Surya,1
Susan,1
Sushankhya,1
Sushanta/Sushant,1
Sushil,1
Sushobhan,1
Susma,1
Sutej,1
Suvam,1
Suvan,1
Suvrat/Suvrata,1
Suyash,1
Suyog,1
Swagat,1
Swami,1
Swapan,1
Swapnil,1
Swarup/Sarup,1
Swastima,1
Swatantra,1
Swayambhu,1
Swornim,1
Taehyung,1
Tanisha,1
Tanuj,1
Tapan,1
Tapas,1
Tarak,1
Taral,1
Taran,1
Tarang,1
Tarini/Tarani,1
Tarun,1
Tej,1
Tej Narayan,1
Tejas,1
Teju,1
Thakur,1
Tika,1
Tilak,1
Tilanjal,1
Tirtha,1
Toophan,1
Toshan,1
Tribhuvan,1
Tribikram,1
Trilochan,1
Trilok,1
Trishanku,1
Tshering,1
Tufan,1
Tulasi/Tulsi,1
Tulsi,1
Tushar,1
Tyag,1
Udar,1
Udaya/Uday,1
Uddhav,1
Udit,1
Ujesh,1
Ujjwal,1
Ujwal,1
Ujjala,1
Ulban,1
Ullas,1
Ullash,1
Umanga,1
Umesh,1
Unnabh,1
Unnat,1
Upendra,1
Utkarsh,1
Utkrishta,1
Utpal,1
Utsang,1
Utsarg,1
Utsav,1
Uttam,1
Uttar,1
Vaibhav,1
Vallabh/Ballabh/Ballav,1
Vasava,1
Vatsa/Batsa,1
Vatsal/Batsal,1
Ved,1
Vikram/Bikram,1
Wangdi,1
Yadab/Yadav,1
Yadunath,1
Yagya,1
Yalamber,1
Yam,1
Yam kumar batas,1
Yama,1
Yamaraj,1
Yash,1
Yatindra,1
Yatish,1
Yogendra,1
Yogesh,1
Yogi,1
Yogi/Yogita,1
Yojak,1
Yougal,1
Yubin,1
Yubraj,1
Yuddha/Juddha,1
Yural,1
Yuvaraj,1
Zenith,1
Aachman,1
Aadeez mangal,1
Aadveer,1
Aadvyam,1
Aafreen,1
Aaham,1
Aahan,1
Aakash,1
Aalap,1
Aamir saba,1
Aandaleeb,1
Aanir,1
Aantpur,1
Aaqib,1
Aarti,1
Aartish,1
Aarvick,1
Aashav,1
Aashay,1
Aashish,1
Aashvat,1
Aayansh,1
Abaan,1
Abdul Shah,1
Abeer,1
Abhash,1
Abhay,1
Abhayaprada,1
Abheek,1
Abhi,1
Abhiansh,1
Abhibhava,1
Abhicandra,1
Abhideep,1
Abhihita,1
Abhijaya,1
Abhijit,1
Abhijvala,1
Abhilash,1
Abhimanyusuta,1
Abhinandan,1
Abhinav,1
Abhinava,1
Abhishek Srivastava,1
Abhra,1
